,NO,일반/집합 구분,대지위치,도로명주소,건물명칭,동명칭,세대,호,가구,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률산정용면적(㎡),건폐율(%),용적률(%),주구조,용도,지붕구조,지하층수(층),지상층수(층),높이(ｍ),부속건축물(동),부속건축물(㎡),주차장_자주식_옥내(대),주차장_자주식_옥외(대),주차장_자주식_인근(대),주차장_기계식_옥내(대),주차장_기계식_옥외(대),주차장_기계식_인근(대),주차장면제(대),승용승강기(대),비상용승강기(대),허가일자,착공일자,사용승인일자,에너지효율등급,에너지절감률(%),에너지성능지표(EPI)점수,친환경인증등급,친환경인증점수,지능형인증등급,지능형인증점수,위도,경도,위경도
584,20,집합,서울특별시 송파구 거여동 44,서울특별시 송파구 오금로61길 ,현대아파트,상가,0,3,0,0,0,253.58,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1990-09-25,,1992-04-20,,0,0,,0,,0,37.4946337,127.1464076,"(37.4946337,127.1464076)"
585,21,집합,서울특별시 송파구 거여동 46,서울특별시 송파구 거마로 ,현대3차아파트,상가,0,29,0,12904.6,2728.93,1344.77,0,21.1,323.96,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,11.8,0,0,0,0,0,0,0,0,0,0,0,1990-10-08,199010,1993-07-19,,0,0,,0,,0,37.4968972,127.1449982,"(37.4968972,127.1449982)"
586,22,집합,서울특별시 송파구 마천동 140-2,서울특별시 송파구  ,,,0,85,0,0,0,1423.93,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1968-07-30,,0,0,,0,,0,37.498307,127.1506037,"(37.498307,127.1506037)"
587,23,일반,서울특별시 송파구 마천동 140-2,서울특별시 송파구  ,,,0,0,0,0,0,265.98,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1978-09-27,,0,0,,0,,0,37.498307,127.1506037,"(37.498307,127.1506037)"
588,24,집합,서울특별시 송파구 마천동 140-3,서울특별시 송파구 마천로45길 ,,,0,0,0,0,0,959.24,0,0,0,철근콘크리트구조,판매시설,기타지붕,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1968-07-30,,0,0,,0,,0,37.4980046,127.1502419,"(37.4980046,127.1502419)"
589,25,집합,서울특별시 송파구 마천동 140-3,서울특별시 송파구 마천로45길 ,,,0,60,0,0,0,194.38,0,0,0,벽돌구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1977-05-12,,0,0,,0,,0,37.4980046,127.1502419,"(37.4980046,127.1502419)"
590,26,집합,서울특별시 송파구 마천동 181,서울특별시 송파구 마천로 ,현대그린빌(아)101동,상가-아울렛코리아라이프,70,273,0,3895,2312.97,23916.4,12288.8,59.38,315.5,철근콘크리트구조,판매시설,(철근)콘크리트,4,10,0,0,0,174,8,0,23,8,0,0,4,0,1995-05-23,1995-06-30,1998-06-30,,0,0,,0,,0,37.4951948,127.1509646,"(37.4951948,127.1509646)"
591,27,집합,서울특별시 송파구 문정동 145,서울특별시 송파구 송이로31길 ,문정시영아파트상가,상가,0,16,0,0,0,2796.691,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1989-03-30,,0,0,,0,,0,37.490605,127.1354526,"(37.490605,127.135452599999)"
592,28,집합,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 ,올림픽훼밀리타운아파트상가(1),상가(1),0,181,0,0,0,8858.7002,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1986-12-31,,1988-12-21,,0,0,,0,,0,37.4885282,127.1143824,"(37.4885282,127.1143824)"
593,29,집합,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 ,올림픽훼밀리타운아파트상가(2),상가(2),0,41,0,0,0,2213.64,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1986-12-31,,1988-12-21,,0,0,,0,,0,37.4885282,127.1143824,"(37.4885282,127.1143824)"
594,30,일반,서울특별시 송파구 문정동 150-2,서울특별시 송파구 중대로 ,문정프라자,,0,0,0,10850.5,6171.16,74577.41,16360.84,56.87,150.78,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,3,21.2,0,0,802,4,0,0,0,0,0,10,2,1993-03-23,1997 7,2000-07-12,,0,0,,0,,0,37.4917426,127.1177535,"(37.4917426,127.1177535)"
595,31,일반,서울특별시 송파구 문정동 29-17,서울특별시 송파구 동남로 ,COLLECTED빌딩,COLLECTED빌딩,0,0,0,684.2,335.28,2587.88,1657.78,49,242.29,철근콘크리트구조,판매시설,(철근)콘크리트,2,5,24,0,0,0,1,0,26,0,0,0,1,0,2006-06-28,2007-02-12,2007-11-15,,0,0,,0,,0,37.4904411,127.1247943,"(37.4904411,127.1247943)"
596,32,일반,서울특별시 송파구 문정동 42-2,서울특별시 송파구 동남로 108,모즈아울렛,,0,0,0,1002.8,600.02,3710.96,2915.71,59.83,290.75,철근콘크리트구조,판매시설,(철근)콘크리트,1,6,20.25,0,0,0,4,0,32,0,0,0,0,0,1996-12-05,1996-12-19,1997-09-10,,0,0,,0,,0,37.4897013,127.1234349,"(37.4897013,127.1234349)"
597,33,집합,서울특별시 송파구 문정동 618,서울특별시 송파구 송파대로 ,파크하비오,하비오길,0,370,0,0,8967.2,52806.15,18478.27,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,3,2,27.6,0,0,0,0,0,0,0,0,0,3,0,2013-05-31,2013-08-28,2016-09-29,,0,0,,0,,0,37.4806169,127.1236753,"(37.4806169,127.1236753)"
598,34,집합,서울특별시 송파구 문정동 618,서울특별시 송파구 송파대로 ,파크하비오,하비오타워,0,142,0,0,0,26644.4,26644.4,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,7,27.6,0,0,0,0,0,0,0,0,0,5,0,2013-05-31,2013-08-28,2016-09-29,,0,0,,0,,0,37.4806169,127.1236753,"(37.4806169,127.1236753)"
599,35,집합,서울특별시 송파구 문정동 618,서울특별시 송파구 송파대로 ,파크하비오,주차장-4,0,0,0,0,0,49637.5,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-31,2013-08-28,2016-09-29,,0,0,,0,,0,37.4806169,127.1236753,"(37.4806169,127.1236753)"
600,36,집합,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로 ,가든파이브툴,가든파이브툴,1777,0,0,28434,17006.39,274056.67,152769.9,59.81,537.28,프리케스트콘크리트구조,판매시설,(철근)콘크리트,5,10,52.3,0,0,2012,0,0,0,0,0,0,20,6,2007-03-06,2007-03-16,2008-12-03,,0,0,,0,,0,37.4786338,127.1192899,"(37.4786338,127.1192899)"
601,37,집합,서울특별시 송파구 문정동 634,서울특별시 송파구 충민로 ,가든파이브라이프,가든파이브라이프,0,5371,0,41732,24913.76,426785.23,243447.12,59.7,583.36,철근콘크리트구조,판매시설,(철근)콘크리트,5,11,54.81,0,0,3745,12,0,0,0,0,0,31,9,2007-03-07,2007-03-16,2008-12-19,,0,0,,0,,0,37.4776598,127.1250068,"(37.4776598,127.1250068)"
602,38,일반,서울특별시 송파구 방이동 109-8,서울특별시 송파구 오금로 141,씨앤에스빌딩,,0,0,0,747.3,368.42,2789.58,1656.48,49.32,221.75,철근콘크리트구조,판매시설,(철근)콘크리트,2,6,22.8,0,0,0,4,0,20,0,0,0,1,0,2014-06-10,2014-07-02,2015-04-22,,0,0,,0,,0,37.5112221,127.1106969,"(37.5112221,127.1106969)"
603,39,집합,서울특별시 송파구 방이동 225,서울특별시 송파구 오금로 ,잠실3차(방이동) 한양아파트,상가,0,21,0,0,0,1377.1,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1984-02-22,,1985-02-21,,0,0,,0,,0,37.5061418,127.1226631,"(37.5061418,127.1226631)"
604,40,일반,서울특별시 송파구 방이동 48-4,서울특별시 송파구 위례성대로2길 15,,,0,0,0,0,0,784.78,590.22,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,0,5,0,0,0,0,0,0,0,1988-05-14,,1988-11-17,,0,0,,0,,0,37.5156608,127.1132317,"(37.5156607999999,127.1132317)"
605,41,집합,서울특별시 송파구 방이동 89-11,서울특별시 송파구 양재대로 ,올림픽선수기자촌아파트,중심상가,374,0,0,0,0,26169.67,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1988-06-20,,0,0,,0,,0,37.5158351,127.1322276,"(37.5158351,127.132227599999)"
606,42,집합,서울특별시 송파구 방이동 89-20,서울특별시 송파구 양재대로 ,올림픽선수.기자촌아파트씨상가,,0,9,0,0,0,2234.15,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1988-06-14,,0,0,,0,,0,37.5121538,127.1289863,"(37.5121537999999,127.1289863)"
607,43,집합,서울특별시 송파구 삼전동 1-3,서울특별시 송파구 삼전로 ,아카데미빌딩,아카데미빌딩,28,26,0,1263.5,583.86,6130.31,3157.16,46.21,249.87,철근콘크리트구조,판매시설,(철근)콘크리트,3,6,27.2,0,0,35,6,0,0,0,0,0,2,0,2007-05-11,2007-05-31,2008-09-30,,0,0,,0,,0,37.507028,127.0909242,"(37.507028,127.0909242)"
608,44,일반,서울특별시 송파구 삼전동 180-16,서울특별시 송파구 삼학사로 ,,,0,0,0,817.7,302.91,2722.83,2030.23,37.04,248.29,철근콘크리트구조,판매시설,(철근)콘크리트,1,8,31.75,0,0,0,8,0,17,0,0,0,1,0,2013-05-21,2015-03-18,2016-03-07,,0,0,,0,,0,37.5016707,127.0965737,"(37.5016707,127.0965737)"
609,45,집합,서울특별시 송파구 석촌동 277-2,서울특별시 송파구 가락로 ,엄마손백화점,엄마손백화점,0,185,0,2965.5,0,1420.2,0,48.84,193.27,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,16,37,0,0,0,0,0,0,0,1982-07-27,,1983-06-22,,0,0,,0,,0,37.5014857,127.1075743,"(37.5014857,127.1075743)"
610,46,집합,서울특별시 송파구 송파동 121,서울특별시 송파구 가락로 ,한양아파트상가,,0,74,0,4779.3,2223.21,7966.62,0,46.51,135.27,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,12.9,0,0,0,64,0,0,0,0,0,1,0,,,1984-02-01,,0,0,,0,,0,37.5050778,127.1145561,"(37.5050778,127.1145561)"
611,47,집합,서울특별시 송파구 송파동 161,서울특별시 송파구 오금로24길 ,미성상가,미성상가,0,90,0,28938.4,0,1640.035,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1983-08-22,,1985-01-12,,0,0,,0,,0,37.5059474,127.1192676,"(37.5059474,127.1192676)"
612,48,집합,서울특별시 송파구 송파동 166,서울특별시 송파구 오금로 ,가락삼익맨숀,상가,0,84,0,0,0,3988.05,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1983-07-22,,1985-01-12,,0,0,,0,,0,37.5042198,127.1213172,"(37.5042198,127.1213172)"
613,49,일반,서울특별시 송파구 송파동 7,서울특별시 송파구 송파대로 ,LG하이프라자,,0,0,0,886.3,527.82,2181.96,1844.24,59.55,208.08,일반철골구조,판매시설,기타지붕,0,5,20.7,0,0,0,9,0,0,0,0,0,1,0,2012-09-13,2012-09-20,2013-02-06,,0,0,,0,,0,37.5087813,127.1045445,"(37.5087813,127.1045445)"
614,50,일반,서울특별시 송파구 신천동 14,서울특별시 송파구 오금로 ,,3동,0,0,0,0,1464.74,1464.74,1464.74,0,0,일반철골구조,판매시설,기타지붕,0,1,5.88,0,0,0,269,0,0,0,0,0,0,0,1995-04-25,1995-05-28,1997-04-15,,0,0,,0,,0,37.5224093,127.1030035,"(37.5224093,127.1030035)"
615,51,집합,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 ,롯데월드타워앤드롯데월드몰,엔터테인먼트동,0,2,0,0,6567.7,103427.63,54635.24,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,12,78,0,0,0,0,0,0,0,0,0,11,4,1998-05-19,1998-05-20,2017-02-09,,0,0,1,89,,0,37.5131099,127.1034504,"(37.5131099,127.1034504)"
616,52,집합,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 ,롯데월드타워앤드롯데월드몰,에비뉴엘동,0,2,0,0,10502.36,113529.29,69573.76,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,10,60.55,0,0,0,0,0,0,0,0,0,13,4,1998-05-19,1998-05-20,2017-02-09,,0,0,1,89,,0,37.5131099,127.1034504,"(37.5131099,127.1034504)"
617,53,집합,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 ,롯데월드타워앤드롯데월드몰,캐주얼동,0,2,0,0,13422.71,162487.61,79273.02,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,12,76.25,0,0,0,0,0,0,0,0,0,24,4,1998-05-19,1998-05-20,2017-02-09,,0,0,1,89,,0,37.5131099,127.1034504,"(37.5131099,127.1034504)"
618,54,집합,서울특별시 송파구 신천동 7-12,서울특별시 송파구 올림픽로35가길 ,SONGPA FUN STADIUM,,0,17,0,6611.7,3942.16,50308.68,20466.07,59.62,309.54,철골철근콘크리트구조,판매시설,(철근)콘크리트,5,10,58.9,0,0,238,0,0,0,0,0,0,6,3,2005-01-31,2005-04-29,2007-06-29,,0,0,,0,,0,37.5162646,127.1030532,"(37.5162646,127.1030532)"
619,55,집합,서울특별시 송파구 신천동 8,서울특별시 송파구 올림픽로 ,잠실역 지하도 상가,,0,2,0,0,0,4285.52,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.51407,127.1020686,"(37.51407,127.1020686)"
620,56,집합,서울특별시 송파구 오금동 160,서울특별시 송파구 문정로 ,삼성아파트,상가,0,22,0,0,0,838.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1988-04-06,,1989-05-13,,0,0,,0,,0,37.4964677,127.1390705,"(37.4964677,127.1390705)"
621,57,집합,서울특별시 송파구 오금동 164,서울특별시 송파구 동남로 ,가락우창아파트,상가,0,29,0,0,0,1400.26,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1983-12-28,,1987-02-20,,0,0,,0,,0,37.4992674,127.1369155,"(37.4992674,127.1369155)"
622,58,집합,서울특별시 송파구 오금동 165,서울특별시 송파구 오금로 ,상아아파트,상가,0,64,0,0,0,3546.72,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1987-06-30,,1988-11-02,,0,0,,0,,0,37.4979498,127.1367394,"(37.4979498,127.1367394)"
623,59,집합,서울특별시 송파구 오금동 19,서울특별시 송파구 마천로7길 ,대림아파트,상가2공구,0,43,0,0,0,1084.53,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1986-10-31,,1988-12-10,,0,0,,0,,0,37.508187,127.1285469,"(37.508187,127.1285469)"
624,60,집합,서울특별시 송파구 오금동 2,서울특별시 송파구 위례성대로 ,대림아파트,상가1공구,0,62,0,0,0,2050.83,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1986-10-31,,1988-12-10,,0,0,,0,,0,37.5102388,127.1291638,"(37.5102388,127.1291638)"
625,61,집합,서울특별시 송파구 오금동 43,서울특별시 송파구 오금로35길 ,현대아파트내,지하상가,0,43,0,0,0,3085.378,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1983-11-16,,1984-12-26,,0,0,,0,,0,37.506558,127.1268416,"(37.506558,127.1268416)"
626,62,집합,서울특별시 송파구 오금동 43,서울특별시 송파구 오금로35길 ,현대아파트내상가,상가,0,42,0,0,0,2956.42,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1983-11-12,,1985-04-13,,0,0,,0,,0,37.506558,127.1268416,"(37.506558,127.1268416)"
627,63,집합,서울특별시 송파구 잠실동 184-9,서울특별시 송파구 석촌호수로 ,,,0,38,0,0,0,1292.96,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1976-08-14,,0,0,,0,,0,37.5111298,127.0854367,"(37.5111297999999,127.0854367)"
628,64,집합,서울특별시 송파구 잠실동 230-2,서울특별시 송파구 백제고분로 ,,,0,248,0,0,0,5755.88,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,11,25,0,0,0,0,0,0,0,,,1981-12-31,,0,0,,0,,0,37.5058145,127.0843267,"(37.5058145,127.0843267)"
629,65,집합,서울특별시 송파구 잠실동 27-6,서울특별시 송파구 올림픽로 ,,,0,175,0,0,0,10864.13,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1978-02-25,,0,0,,0,,0,37.5124993,127.0934286,"(37.5124993,127.093428599999)"
630,66,일반,서울특별시 송파구 잠실동 40-1,서울특별시 송파구 올림픽로 ,롯데월드,S/M(4-1호),0,0,0,0,0,36061.5,0,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,4,34,0,0,0,0,0,0,0,0,0,6,0,1986-06-02,,1989-06-26,,0,0,,0,,0,37.5112927,127.0979609,"(37.5112927,127.0979609)"
631,67,일반,서울특별시 송파구 잠실동 40-1,서울특별시 송파구 올림픽로 ,롯데월드,D/B(7호),0,0,0,0,3942.66,33736.01,23376.23,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,7,35.69,0,0,0,0,0,0,0,0,0,7,2,1986-06-02,,1989-06-26,,0,0,,0,,0,37.5112927,127.0979609,"(37.5112927,127.0979609)"
632,68,일반,서울특별시 송파구 잠실동 40-1,서울특별시 송파구 올림픽로 ,롯데월드,D/A(6호),0,0,0,0,7364.36,112763.28,86860.11,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,14,64.25,0,0,0,0,0,0,0,0,0,14,4,1986-06-02,,1989-06-26,,0,0,,0,,0,37.5112927,127.0979609,"(37.5112927,127.0979609)"
633,69,일반,서울특별시 송파구 잠실동 40-1,서울특별시 송파구 올림픽로 ,롯데월드,S/M(4-2호),0,0,0,0,0,32130.63,0,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,4,34,0,0,0,0,0,0,0,0,0,6,0,1986-06-02,,1989-06-26,,0,0,,0,,0,37.5112927,127.0979609,"(37.5112927,127.0979609)"
634,70,집합,서울특별시 송파구 잠실동 41,서울특별시 송파구  ,잠실지하광장 지하도상가,,0,0,0,0,0,4331.79,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,3,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5120824,127.1008667,"(37.5120824,127.1008667)"
635,71,집합,서울특별시 송파구 장지동 881,서울특별시 송파구 위례광장로 ,아이온스퀘어,,0,320,0,3875,2303.9,36127.51,22840.84,59.46,589.44,철근콘크리트구조,판매시설,(철근)콘크리트,4,12,53.1,0,0,294,0,0,0,0,0,0,4,2,2015-05-28,2015-06-15,2017-06-02,,0,0,,0,,0,37.4810973,127.1423929,"(37.4810973,127.1423929)"
636,72,일반,서울특별시 송파구 풍납동 474-2,서울특별시 송파구 올림픽로 619,,,0,0,0,856,425.53,1469.58,1469.58,49.71,171.68,일반철골구조,판매시설,(철근)콘크리트,0,5,23.6,0,0,0,15,0,0,0,0,0,1,0,2020-11-19,2021-04-21,2021-09-27,,0,0,,0,,0,37.5373267,127.122595,"(37.5373267,127.122595)"
637,73,일반,서울특별시 송파구 풍납동 504-2,서울특별시 송파구 올림픽로 ,,,0,0,0,3924,1658.8101,5267.19,0,42.3,94.5,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,18.5,0,0,45,31,0,0,0,0,0,0,0,1992-03-03,199203,1992-12-07,,0,0,,0,,0,37.5306816,127.1201497,"(37.5306816,127.1201497)"
638,1,일반,서울특별시 강동구 길동 336-1,서울특별시 강동구 양재대로 1540,,,0,0,0,1864.1,845.02,1543.47,1543.47,45.33,82.8,일반철골구조,판매시설,기타지붕,0,2,12.9,0,0,0,21,0,0,0,0,0,0,0,2004-06-11,2004-07-12,2004-09-24,,0,0,,0,,0,37.5429825,127.1423959,"(37.5429825,127.1423959)"
639,2,일반,서울특별시 강동구 길동 413-45,서울특별시 강동구 양재대로 1449,,,0,0,0,1828,1092.58,2772.93,2772.93,59.77,151.69,일반철골구조,판매시설,(철근)콘크리트,0,3,19.8,0,0,0,13,0,0,0,0,0,1,0,1999-07-27,1999-08-06,1999-11-06,,0,73,,0,,0,37.5354999,127.1386896,"(37.5354999,127.1386896)"
640,3,집합,서울특별시 강동구 길동 54,서울특별시 강동구 양재대로128길 ,삼익파크,상가동,0,128,0,0,0,3640.85,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,1,1007.96,0,0,0,0,0,0,0,0,0,,,1982-09-04,,0,0,,0,,0,37.5438625,127.1475049,"(37.5438625,127.1475049)"
641,4,일반,서울특별시 강동구 둔촌동 435-5,서울특별시 강동구 천호대로 1156,,,0,0,0,1274.3,640.23,1625.67,1625.67,50.24,127.57,일반철골구조,판매시설,(철근)콘크리트,0,3,15.65,0,0,14,2,0,0,0,0,0,1,0,2013-06-03,2014-01-09,2014-05-28,,0,0,,0,,0,37.533382,127.1396136,"(37.533382,127.1396136)"
642,5,집합,서울특별시 강동구 둔촌동 603,서울특별시 강동구 천호대로 1238,프라자상가,,0,41,0,0,313.215,1189.4,755.15,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1983-12-21,,1984-12-10,,0,0,,0,,0,37.535417,127.1482561,"(37.535417,127.1482561)"
643,6,집합,서울특별시 강동구 명일동 15,서울특별시 강동구 명일로 ,삼익그린맨션,상가동,0,185,0,0,1565.766,8411.768,5950.892,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1982-11-03,,1984-05-26,,0,0,,0,,0,37.5532919,127.148467,"(37.5532919,127.148467)"
644,7,일반,서울특별시 강동구 명일동 312-99,서울특별시 강동구 양재대로 ,엘지슈퍼 명일점,,0,0,1,5880,2043.62,1970.59,1970.59,34.76,33.51,일반철골구조,판매시설,기타지붕,0,1,7.5,0,0,0,54,0,0,0,0,0,0,0,2002-12-06,2002-12-14,2003-05-07,,0,0,,0,,0,37.5513858,127.1442555,"(37.5513857999999,127.1442555)"
645,8,집합,서울특별시 강동구 명일동 347-3,서울특별시 강동구 상암로 ,명일현대종합상가,,0,98,0,0,695.68,3951.71,2818.47,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1985-06-27,,1985-12-04,,0,0,,0,,0,37.5463053,127.1458143,"(37.5463052999999,127.1458143)"
646,9,일반,서울특별시 강동구 명일동 46-4,서울특별시 강동구 고덕로 ,신세계이마트명일점,,0,0,1,4959.2,2552.63,27912.8,14030.55,51.47,282.92,철골철근콘크리트구조,판매시설,(철근)콘크리트,4,6,29.3,0,0,220,19,0,0,0,0,0,2,0,1989-09-11,,1990-12-08,,0,0,,0,,0,37.5546735,127.1558515,"(37.5546735,127.155851499999)"
647,10,집합,서울특별시 강동구 명일동 47,서울특별시 강동구 고덕로62길 ,명일삼환아파트,상가동,0,17,0,0,256.03,1024.11,768.08,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1990-09-20,1990-10-30,1992-06-30,,0,0,,0,,0,37.5536984,127.1538354,"(37.5536984,127.1538354)"
648,11,집합,서울특별시 강동구 명일동 54,서울특별시 강동구 동남로71길 ,한양아파트,상가,0,39,0,0,1276.69,3294.92,2509.35,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1986-01-28,,1986-10-31,,0,0,,0,,0,37.5504635,127.1551633,"(37.5504635,127.1551633)"
649,12,집합,서울특별시 강동구 상일동 124-2,서울특별시 강동구 구천면로 ,고덕주공아파트,상가사동,0,32,0,0,569.3,1707.9,1138.6,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1982-09-22,,1983-12-29,,0,0,,0,,0,37.5512375,127.1721627,"(37.5512375,127.1721627)"
650,13,일반,서울특별시 강동구 상일동 341-1,서울특별시 강동구 상일로 ,,,0,0,1,630,278.6,1196.7,835.8,44.222222,132.67,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,13.4,0,0,6,4,0,0,0,0,0,0,0,1993-04-15,1993-04-29,1994-01-06,,0,0,,0,,0,37.5484177,127.1729633,"(37.5484177,127.1729633)"
651,14,일반,서울특별시 강동구 상일동 437-3,서울특별시 강동구 천호대로 1473,,,0,0,0,1039,458.4,1488.38,1488.38,44.12,143.25,일반철골구조,판매시설,기타지붕,0,4,22.42,0,0,0,15,0,0,0,0,0,1,0,2019-07-29,2019-10-15,2020-03-05,,0,68,,0,,0,37.5467529,127.1717066,"(37.5467529,127.1717066)"
652,15,집합,서울특별시 강동구 암사동 414-18,서울특별시 강동구 고덕로 ,강동 롯데캐슬퍼스트아파트,상가동,278,0,0,0,2530.61,23904.82,12324.84,49.99,243.48,철근콘크리트구조,판매시설,(철근)콘크리트,3,5,20.4,0,0,184,0,0,0,0,0,0,4,0,2003-12-30,2005-04-29,2008-09-25,,0,0,,0,,0,37.5553145,127.1404009,"(37.5553145,127.1404009)"
653,16,집합,서울특별시 강동구 암사동 480-1,서울특별시 강동구 구천면로47길 ,강동종합시장,,243,0,0,0,0,4010.85,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1981-10-14,,0,0,,0,,0,37.5506877,127.1345825,"(37.5506877,127.1345825)"
654,17,집합,서울특별시 강동구 암사동 501-4,서울특별시 강동구 상암로 ,암사동양덱스빌,,39,66,0,1917.7,1150.3,14568.47,8027.52,59.98,418.6,철근콘크리트구조,판매시설,(철근)콘크리트,5,16,49.6,0,0,110,3,0,0,0,0,0,2,1,1996-07-31,1996-08-31,1999-05-27,,0,0,,0,,0,37.5501661,127.1282472,"(37.5501661,127.1282472)"
655,18,집합,서울특별시 강동구 천호동 19-1,서울특별시 강동구 구천면로 366,천호우성아파트상가,,0,110,0,0,974.78,4158.14,2898,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1983-12-09,,1985-02-02,,0,0,,0,,0,37.549769,127.1388427,"(37.549769,127.1388427)"
656,19,집합,서울특별시 강동구 천호동 410-13,서울특별시 강동구 천호대로157길 ,,,0,6,0,0,187.04,748.16,561.12,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1984-10-08,,1985-02-15,,0,0,,0,,0,37.5393836,127.1278661,"(37.5393836,127.1278661)"
